Banco,Sucursal,Direccion,Ciudad,Pais,Latitud,Longitud
Bankinter ,Nanclares de Oca 1 2.c,"Nanclares de Oca 1,",Madrid,España,42.8166489,-2.81064181267

Bankinter ,Paseo Castellana 166 2 9 Izq,"Paseo de la Castellana 166,",Madrid,España,40.4358824,-3.6893211

Bankinter ,Villa de Marin N. 6 2. A,"Villa de Marin 6,",Madrid,España,48.8044443,2.3230027

Bankinter ,Galileo N. 47 A,"Galileo 47,",Madrid,España,-34.8050132,-56.2440472

Bankinter ,Eloy Gonzalo,"Eloy Gonzalo, 19",Madrid,España,35.2904389,-2.9412955

Bankinter ,Antonio Romero 14.,Antonio Romero 14,Madrid,España,-54.8035437,-68.3125916

Banco,Sucursal,Direccion,Ciudad,Pais,Latitud,Longitud

Bankinter ,Carretera Canillas 138 2. Of 10 B,"Carretera Canillas 138,",Madrid,España,40.465237,-3.6370767

Bankinter ,Berlanas N. 5 1. B,"Berlanas 5,",Madrid,España,40.8040165,-4.7611116

Bankinter ,Avenida de Oporto 81,"Avenida de Oporto 81,",Madrid,España,40.3875405,-3.7306508

Bankinter ,Bravo Murillo N.213 Bis 2.izda,"Bravo Murillo 213,",Madrid,España,40.4510674,-3.7033717

Bankinter ,Islas Cabo Verde 63,Islas Cabo Verde 63,Madrid,España,40.4783077,-3.7357231

Bankinter ,Principe de Vergara,"Principe de Vergara, 205",Madrid,España,36.5189667,-4.876947

Bankinter ,Jerez N.4,"Jerez 4,",Madrid,España,-0.214875,-78.4865651

Bankinter ,Jose Ortega Y Gasset N.68 3.c,"Jose Ortega Y Gasset 68,",Madrid,España,-2.9171042,-79.0103528

Bankinter ,Helsinki 15 1. B,"Helsinki 15,",Madrid,España,60.1913479,24.9026643

Bankinter ,Vicente Morales N.2 304,"Vicente Morales 2,",Madrid,España,-18.4385022,-70.2926835

Bankinter ,Naciones N.9 Entlo B,"Naciones 9,",Madrid,España,12.1355647,-86.2683414

Bankinter ,Orense 36 Esc Izqda,Orense 36,Madrid,España,42.5978558,-6.7192025

Bankinter ,Diego de Leon 46,Calle Diego de Leon 46,Madrid,España,40.824107,0.5011293

Bankinter ,Albadalejo,"Albadalejo, 16",Madrid,España,38.0876975,-0.7952512

Bankinter ,Avenida del Talgo 156 2.c,"Avenida del Talgo 156,",Madrid,España,40.4473649,-3.7863778

Bankinter ,Costa Brava,"Costa Brava, 18",Madrid,España,33.6998086667,-117.746556667

Bankinter ,Arandiga,"Arandiga, 8",Madrid,España,41.5092551,-1.4998265

Bankinter ,Nuñez de Balboa 30,Calle Nunez de Balboa 30,Madrid,España,43.5385864,-5.7028561

Bankinter ,Caracas 9 Bajo Izda,Caracas 9,Madrid,España,-34.6064473,-58.4747399

Bankinter ,Juan de Austria,"Juan de Austria, 10",Madrid,España,43.4849315,-8.2069814

Bankinter ,Hermosilla,"Hermosilla, 108",Madrid,España,42.6575969,-3.4350129

Bankinter ,Alonso Castrillo 2 3. Izqda,"Alonso Castrillo 2,",Madrid,España,42.4648436,-6.1296598

Bankinter ,Afueras A Valverde,"Afueras A Valverde, 48",Madrid,España,40.5002765,-3.6946745

Bankinter ,Paseo Pintor Rosales 26 Local,Paseo Pintor Rosales 26,Madrid,España,40.1134387,-3.7953376

Bankinter ,Jesus Aprendiz,"Jesus Aprendiz, 19",Madrid,España,40.4095728,-3.6710508

Bankinter ,Maldonado,"Maldonado, 19",Madrid,España,-34.6730486,-58.4740085

Bankinter ,Ronda de Buganvilla del Rey 101,"Ronda de Buganvilla del Rey 101,",Madrid,España,40.4561326,-3.766306

Bankinter ,Maldonado 55,"Maldonado 55,",Madrid,España,-34.6730486,-58.4740085

Bankinter ,Avenida America 62 Bajo Izda,"Avenida de America 62,",Madrid,España,27.9180106,-15.4423431

Bankinter ,Paseo General Mtnez Campos 41 7.,"Paseo del General Martinez Campos 41,",Madrid,España,40.4349555,-3.6983447

Bankinter ,Antonio Flores N.1 1.izqda,"Antonio Flores 1,",Madrid,España,-1.2600204,-78.6253508

Bankinter ,Victor Andres Belaunde 25 2.d,Victor Andres Belaunde 25,Madrid,España,-12.0477939,-75.2252429

Bankinter ,Luchana 12 1. 2,"Luchana 12,",Madrid,España,43.370514,-8.3983227

Bankinter ,Santa Barbara 11 2. 1.,"Santa Barbara 11,",Madrid,España,34.86824635,-120.485418194

Bankinter ,Plaza de Las Salesas 7 2. Izda,"Plaza de Las Salesas 7,",Madrid,España,37.61273345,-0.98916785

Bankinter ,Paseo de la Castellana,"Paseo del a Castellana, 29",Madrid,España,43.5463945,-7.4381342

Bankinter ,Villasilos 14 D Bajo A,"Villasilos 14,",Madrid,España,42.3313837,-4.1376123

Bankinter ,Goya 47 3.b,"Goya 47,",Madrid,España,-34.6347617,-58.4854511

Bankinter ,El Algabeño 164 Chalet P,"El Algabeno 164,",Madrid,España,40.4572242,-3.6276797

Bankinter ,Serrano 226 Dpdo Bajo Dcha,"Serrano 226,",Madrid,España,-33.4475345224,-70.6486550796

Bankinter ,Juan de Mariana 4 1.a,"Juan de Mariana 4,",Madrid,España,-31.3866231,-64.1201027

Bankinter ,Avenida Cardenal Herrera Oria 173 10.c,"Avenida del Cardenal Herrera Oria, 173",Madrid,España,43.4576093,-3.8467211

Bankinter ,Gran Via 71 2.planta,Gran Via 71,Madrid,España,15.6116124,-87.9464974

Bankinter ,Avenida General Peron 32 24M,"Avenida General Peron 32,",Madrid,España,-32.2484526,-63.9740604

